1	69.6692376347
2	69.2163694382
4	59.6943330357
12	55.6691282721
24	51.7413597922
36	51.1294413709
48	54.9231076493
60	51.3974514321
72	53.2608985114
84	40.8829110763
96	51.3967670635
108	52.7762433697
120	56.4467816015
132	55.7064132258
144	53.6560685946
156	53.9882038105
168	55.3221801333
180	56.9218273571
192	45.1926703341


1	401.529636711
2	384.985563041
4	535.714285714
12	705.741626794
24	965.250965251
36	781.25
48	957.575757576
60	958.549222798
72	875.0
84	814.332247557
96	893.78238342
108	1008.82723834
120	766.509433962
132	836.320191159
144	942.928039702
156	1048.08877928
168	938.628158845
180	888.888888889
192	834.532374101


1	1739.96175908
2	2271.41482194
4	3058.03571429
12	5167.46411483
24	8738.73873874
36	13138.0208333
48	15139.3939394
60	18251.2953368
72	19100.0
84	19543.9739414
96	22992.2279793
108	23757.8814628
120	24799.5283019
132	25519.7132616
144	28523.573201
156	28397.0406905
168	28531.88929
180	28538.0116959
192	45438.8489209


1	24162.332696
2	51416.5543792
4	124854.241071
12	399686.602871
24	806882.882883
36	1108210.9375
48	1280058.18182
60	1691738.34197
72	1846287.5
84	2684283.38762
96	2478445.59585
108	2633203.02648
120	2690294.81132
132	2888028.67384
144	3289205.95533
156	3498951.91122
168	3656967.50903
180	3806654.97076
192	4829553.95683


