1	33.389910682
2	63.8518636763
4	125.534392937
12	279.305769992
24	361.129613431
36	680.346674428
48	822.036046281
60	578.901919542
72	1206.83066154
84	1256.43925116
96	1254.88008924
108	524.699500224
120	1066.20859186
132	1780.62678063
144	1864.63766464
156	1977.76117435
168	1680.41338169
180	1907.76992295
192	732.269914691


1	104.53
2	108.8
4	109.73
12	141.25
24	156.18
36	146.93
48	146.88
60	145.54
72	139.62
84	141.56
96	165.11
108	158.72
120	172.46
132	162.44
144	158.83
156	157.44
168	176.97
180	173.19
192	459.92


1	3.35
2	3.88
4	3.88
12	6.38
24	17.09
36	10.61
48	13.1
60	10.09
72	9.05
84	10.7
96	11.45
108	30.23
120	22.04
132	9.63
144	11.25
156	11.99
168	12.68
180	12.2
192	30.7


1	20593.0
2	10712.52
4	5392.46
12	2327.09
24	1740.75
36	858.412
48	680.859
60	1038.37
72	424.099
84	397.866
96	374.249
108	1128.4
120	453.779
132	216.107
144	200.609
156	180.055
168	221.688
180	176.918
192	453.304


