1	7.05344354992
2	13.3460862602
4	24.1104257499
12	55.9123418729
24	97.2484102586
36	131.785102426
48	148.211580265
60	164.199118798
72	171.560100839
84	186.856706858
96	189.813350206
108	156.077934916
120	179.609349664
132	186.135009927
144	51.3539614589
156	189.837372651
168	151.830826719
180	99.2246694578
192	43.552215477


1	454.63
2	469.66
4	510.0
12	616.77
24	642.63
36	666.84
48	706.95
60	756.79
72	808.65
84	865.06
96	942.83
108	948.09
120	1152.44
132	1183.37
144	1378.74
156	1374.39
168	1690.88
180	2403.54
192	3070.57


1	55.24
2	66.22
4	76.64
12	93.59
24	103.94
36	112.95
48	119.39
60	128.94
72	141.51
84	146.17
96	181.61
108	169.53
120	296.31
132	297.39
144	538.51
156	339.48
168	713.55
180	2204.29
192	9465.68


1	0.669131
2	3.81433
4	10.7434
12	62.3882
24	141.986
36	203.879
48	339.861
60	429.973
72	561.333
84	607.324
96	696.619
108	1375.79
120	957.736
132	1073.62
144	8258.65
156	1246.95
168	1588.81
180	2010.63
192	3691.54


