1	37.8366675145
2	72.0112337525
4	129.251847224
12	301.212379829
24	509.919347756
36	726.911474298
48	789.227915868
60	976.16265039
72	984.155102844
84	988.67961837
96	1067.21371251
108	982.707085045
120	937.302287799
132	959.677548344
144	833.055648117
156	905.093413183
168	763.287564349
180	618.76189183
192	335.217379159


1	92.36
2	96.26
4	107.12
12	132.58
24	149.11
36	146.94
48	164.82
60	158.67
72	167.46
84	165.83
96	169.09
108	167.83
120	168.85
132	170.85
144	183.02
156	182.1
168	172.87
180	164.65
192	171.74


1	2.78
2	3.31
4	3.42
12	4.5
24	6.5
36	6.59
48	8.08
60	9.76
72	10.81
84	13.77
96	12.63
108	25.07
120	28.82
132	21.9
144	18.2
156	22.62
168	59.86
180	47.29
192	49.02


1	18172.91
2	9499.09
4	5237.39
12	2157.69
24	1199.91
36	797.362
48	702.933
60	539.689
72	524.088
84	519.614
96	466.019
108	510.772
120	539.955
132	527.623
144	628.707
156	559.118
168	673.426
180	905.379
192	1842.08


