1	1649.58900274
2	3360.42131929
4	6534.46931061
8	12551.6312681
12	18810.3967788
24	36737.7508166
36	49130.6318617
48	64344.9397462
60	66679.7442217
72	79538.4820417
84	52953.9804725
96	39735.9722778
108	37103.2938621
120	36295.3833855
132	34203.7656402
144	33786.0540094
156	31634.6544614
168	31518.2252296
180	29997.07145
192	29531.7451863


1	37.5848690592
2	23.0122202825
4	30.1982268744
8	43.3923582711
12	45.2562453264
24	47.2869862802
36	53.456853942
48	61.4576643394
60	75.4597862472
72	112.488417723
84	114.983613325
96	101.663988945
108	108.208003621
120	108.804581246
132	108.243828134
144	113.741440804
156	114.482354849
168	116.66310965
180	130.200070558
192	135.676522641


1	145.085677336
2	124.58339946
4	146.400187719
8	164.381087943
12	168.089562712
24	187.84147428
36	270.554092502
48	301.321759307
60	385.520192036
72	478.639180854
84	955.675428042
96	1537.11859233
108	1937.36328076
120	2288.53036727
132	2719.78931703
144	2788.17357153
156	2841.50427624
168	2812.1493609
180	2898.28285899
192	2878.8763513


1	116243.533786
2	57018.1320425
4	29241.6776339
8	15124.8127808
12	10030.4425331
24	5033.74142402
36	3632.37965763
48	2671.55938594
60	2467.74678517
72	1875.68383608
84	2614.40466781
96	3262.57215594
108	3206.67459294
120	2974.13872217
132	2874.93815473
144	2871.72985964
156	3210.8130648
168	3263.35518962
180	3479.63460553
192	3600.54559187


